title,studio,domestic_gross,foreign_gross,grand_total_gross,year
Leap!,Wein.,21900000,81400000,103300000,2017
Sultan,Yash,6200000,81100000,87300000,2016
True Grit,Par.,171200000,81000000,252200000,2010
Ghost Rider: Spirit of Vengeance,Sony,51800000,80800000,132600000,2012
Pitch Perfect 3,Uni.,104900000,80500000,185400000,2017
A Taxi Driver,WGUSA,1500000,80100000,81600000,2017
Transcendence,WB,23000000,80000000,103000000,2014
Dhoom 3,Yash,8000000,80000000,88000000,2013
Masquerade (2012),CJ,923000,79800000,80723000,2012
John Wick: Chapter Two,LG/S,92000000,79500000,171500000,2017
Get Out,Uni.,176000000,79400000,255400000,2017
Allied,Par.,40100000,79400000,119500000,2016
Abraham Lincoln: Vampire Hunter,Fox,37500000,79000000,116500000,2012
No Strings Attached,Par.,70700000,78600000,149300000,2011
Insidious Chapter 2,FD,83600000,78300000,161900000,2013
The Wolfman,Uni.,62000000,77800000,139800000,2010
Tiny Times,CL,23500,77700000,77723500,2013
The Monuments Men,Sony,78000000,77000000,155000000,2014
Daddy's Home 2,Par.,104000000,76600000,180600000,2017
The Muppets,BV,88600000,76600000,165200000,2011
Shin Godzilla,FUN,1900000,76000000,77900000,2016
Hop,Uni.,108100000,75900000,184000000,2011
If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000,75600000,76027000,2010
Jack and Jill,Sony,74200000,75500000,149700000,2011
Predators,Fox,52000000,75200000,127200000,2010
The 5th Wave,Sony,34900000,75000000,109900000,2016
Tower Heist,Uni.,78000000,74900000,152900000,2011
Mama,Uni.,71600000,74800000,146400000,2013
Cowboys & Aliens,Uni.,100200000,74600000,174800000,2011
The Woman in Black,CBS,54300000,73400000,127700000,2012
Hereafter,WB,32700000,72500000,105200000,2010
Young Detective Dee: Rise of the Sea Dragon,WAMCR,87800,72200000,72287800,2013
About Time,Uni.,15300000,71800000,87100000,2013
Olympus Has Fallen,FD,98900000,71300000,170200000,2013
Step Up All In,LG/S,14900000,71300000,86200000,2014
The Vow,SGem,125000000,71100000,196100000,2012
Jurassic Park 3D,Uni.,45400000,71100000,116500000,2013
Bad Moms,STX,113300000,70700000,184000000,2016
Last Vegas,CBS,63900000,70500000,134400000,2013
Love and Other Drugs,Fox,32400000,70500000,102900000,2010
Chappie,Sony,31600000,70500000,102100000,2015
I Am Not Madame Bovary,WGUSA,437000,70400000,70837000,2016
The Heat,Fox,159600000,70300000,229900000,2013
Life (2017),Sony,30200000,70300000,100500000,2017
Goosebumps,Sony,80100000,70100000,150200000,2015
The Attorney,WGUSA,557000,70000000,70557000,2014
Happy Death Day,Uni.,55700000,69800000,125500000,2017
The Bounty Hunter,Sony,67099999,69300000,136399999,2010
The Magnificent Seven (2016),Sony,93400000,68900000,162300000,2016
The Accountant,WB,86300000,68900000,155200000,2016
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000,68900000,112500000,2010
In the Heart of the Sea,WB,25000000,68900000,93900000,2015
The Mule,WB,103800000,68700000,172500000,2018
Tales from Earthsea,BV,48500,68600000,68648500,2010
Flight,Par.,93800000,68000000,161800000,2012
Don't Breathe,SGem,89200000,67900000,157100000,2016
Ben-Hur (2016),Par.,26400000,67700000,94100000,2016
Mortal Engines,Uni.,16000000,67700000,83700000,2018
Pete's Dragon (2016),BV,76200000,67500000,143700000,2016
The First Purge,Uni.,69500000,67500000,137000000,2018
Unknown,WB,63700000,67099999,130799999,2011
Stalingrad (2014),Sony,1000000,67099999,68099999,2014
Season of the Witch,Rela.,24800000,66800000,91600000,2011
Hidden Figures,Fox,169600000,66300000,235900000,2016
One Piece Film: Gold,FUN,424000,65800000,66224000,2017
How to Be Single,WB (NL),46800000,65500000,112300000,2016
The Adjustment Bureau,Uni.,62500000,65400000,127900000,2011
Jigsaw,LGF,38100000,64900000,103000000,2017
The Man From U.N.C.L.E.,WB,45400000,64400000,109800000,2015
The Mortal Instruments: City of Bones,SGem,31200000,64200000,95400000,2013
Nanny McPhee Returns,Uni.,29000000,64200000,93200000,2010
Thunder and the House of Magic!,Shout!,4100,64200000,64204100,2014
Blue Jasmine,SPC,33400000,64099999,97499999,2013
Crazy Rich Asians,WB,174500000,64000000,238500000,2018
The Shallows,Sony,55100000,64000000,119100000,2016
Creed,WB (NL),109800000,63800000,173600000,2015
Ender's Game,LG/S,61700000,63800000,125500000,2013
The LEGO Ninjago Movie,WB,59300000,63800000,123100000,2017
Sanju,FIP,7900000,63600000,71500000,2018
Rush (2013),Uni.,26900000,63300000,90200000,2013
The Big Short,Par.,70300000,63200000,133500000,2015
Oceans,BV,19400000,63200000,82600000,2010
21 Jump Street,Sony,138400000,63100000,201500000,2012
The Rite,WB (NL),33000000,63000000,96000000,2011
The House With A Clock In Its Walls,Uni.,68500000,62900000,131400000,2018
Elite Squad: The Enemy Within,Vari.,100000,62900000,63000000,2011
The Dark Tower,Sony,50700000,62500000,113200000,2017
Philomena,Wein.,37700000,62400000,100100000,2013
The Book of Eli,WB,94800000,62300000,157100000,2010
Alpha,Studio 8,35900000,62300000,98200000,2018
Chronicle (2012),Fox,64599999,62100000,126699999,2012
The Town,WB,92200000,61800000,154000000,2010
The Favourite,FoxS,34400000,61600000,96000000,2018
Prisoners,WB,61000000,61100000,122100000,2013
Birdman,FoxS,42300000,60900000,103200000,2014
Insidious Chapter 3,Focus,52200000,60800000,113000000,2015
First Man,Uni.,44900000,60800000,105700000,2018
Paul,Uni.,37400000,60600000,98000000,2011
Paranormal Activity: The Ghost Dimension,Par.,18300000,60600000,78900000,2015
Deepwater Horizon,LG/S,61400000,60400000,121800000,2016
Evangelion: 3.0 You Can (Not) Redo,Elev.,175000,60300000,60475000,2014
Lee Daniels' The Butler,Wein.,116600000,60000000,176600000,2013
From Up on Poppy Hill,GK,1000000,60000000,61000000,2013
Hitman: Agent 47,Fox,22500000,59900000,82400000,2015
Contagion,WB,75700000,59800000,135500000,2011
Green Zone,Uni.,35100000,59800000,94900000,2010
Office Christmas Party,Par.,54800000,59700000,114500000,2016
The Girl Who Played with Fire,MBox,7600000,59500000,67100000,2010
Star Wars: Episode I - The Phantom Menace (in 3D),Fox,43500000,59300000,102800000,2012
Gangster Squad,WB,46000000,59200000,105200000,2013
Scream 4,W/Dim.,38200000,59000000,97200000,2011
"Crazy, Stupid, Love.",WB,84400000,58500000,142900000,2011
Dirty Grandpa,LGF,35600000,58500000,94100000,2016
A Bad Moms Christmas,STX,72100000,58400000,130500000,2017
Water for Elephants,Fox,58700000,58400000,117100000,2011
The Boxtrolls,Focus,50800000,58400000,109200000,2014
Paranormal Activity: The Marked Ones,Par.,32500000,58400000,90900000,2014
Piranha 3D,W/Dim.,25000000,58200000,83200000,2010
Beginning of the Great Revival,CL,151000,58200000,58351000,2011
Why Him?,Fox,60300000,57800000,118100000,2016
L.O.R.D: Legend of Ravaging Dynasties,AR,350000,57700000,58050000,2016
Collateral Beauty,WB (NL),31000000,57500000,88500000,2016
The Grandmaster,Wein.,6600000,57500000,64100000,2013
Deliver Us From Evil,SGem,30600000,57400000,88000000,2014
Power Rangers (2017),LGF,85400000,57000000,142400000,2017
The Nut Job,ORF,64300000,56600000,120900000,2014
To Rome with Love,SPC,16700000,56600000,73300000,2012
The Transporter Refueled,EC,16000000,56600000,72600000,2015
Magic Mike XXL,WB,66000000,56500000,122500000,2015
"Tinker, Tailor, Soldier, Spy",Focus,24100000,56500000,80600000,2011
2 Guns,Uni.,75600000,56300000,131900000,2013
Riddick,Uni.,42000000,56300000,98300000,2013
Anna Karenina,Focus,12800000,56100000,68900000,2012
Let's Be Cops,Fox,82400000,55800000,138200000,2014
Confidential Assignment,CJ,476000,55500000,55976000,2017
Rings,Par.,27800000,55300000,83100000,2017
The Book Thief,Fox,21500000,55100000,76600000,2013
Free Birds,Rela.,55800000,54600000,110400000,2013
Instructions Not Included,LGF,44500000,54600000,99100000,2013
Jackass 3-D,Par.,117200000,54500000,171700000,2010
The Face Reader,PM&E,516000,54100000,54616000,2013
Robin Hood (2018),LG/S,30800000,54000000,84800000,2018
Abduction,LGF,28100000,54000000,82100000,2011
The Counselor,Fox,17000000,54000000,71000000,2013
Truth or Dare,Uni.,41400000,53900000,95300000,2018
Dragon Ball Z: Resurrection 'F',FUN,8000000,53800000,61800000,2015
Date Night,Fox,98700000,53600000,152300000,2010
Magic Mike,WB,113700000,53500000,167200000,2012
Paper Towns,Fox,32000000,53500000,85500000,2015
Sucker Punch,WB,36400000,53400000,89800000,2011
Instant Family,Par.,67400000,53200000,120600000,2018
Horrible Bosses 2,WB,54400000,53200000,107600000,2014
Spotlight,ORF,45100000,53200000,98300000,2015
The Danish Girl,Focus,11100000,53100000,64200000,2015
The Second Best Exotic Marigold Hotel,FoxS,33100000,52900000,86000000,2015
Ouija,Uni.,50900000,52700000,103600000,2014
A Nightmare on Elm Street (2010),WB (NL),63100000,52600000,115700000,2010
Neighbors 2: Sorority Rising,Uni.,55500000,52600000,108100000,2016
Tooth Fairy,Fox,60000000,52400000,112400000,2010
Life as We Know It,WB,53400000,52300000,105700000,2010
Money Monster,TriS,41000000,52300000,93300000,2016
"I, Frankenstein",LGF,19100000,52100000,71200000,2014
Captain Underpants: The First Epic Movie,Fox,73900000,51600000,125500000,2017
Red Riding Hood,WB,37700000,51500000,89200000,2011
Detective Dee and the Mystery of the Phantom Flame,IM,460000,51300000,51760000,2011
The Other Guys,Sony,119200000,51200000,170400000,2010
ParaNorman,Focus,56000000,51100000,107100000,2012
Killers,LGF,47100000,51100000,98200000,2010
The Walk,TriS,10100000,51000000,61100000,2015
Master,CJ,597000,51000000,51597000,2016
Hope Springs,Sony,63500000,50700000,114200000,2012
Underworld: Blood Wars,SGem,30400000,50700000,81100000,2017
Warm Bodies,LG/S,66400000,50600000,117000000,2013
Pitch Perfect,Uni.,65000000,50300000,115300000,2012
The 100-Year Old Man Who Climbed Out the Window and Disappeared,MBox,944000,50200000,51144000,2015
Burlesque,SGem,39400000,50100000,89500000,2010
Marmaduke,Fox,33600000,50100000,83700000,2010
Jackass Presents: Bad Grandpa,Par.,102000000,49800000,151800000,2013
The Himalayas,CJ,697000,49800000,50497000,2015
The Book of Life (2014),Fox,50200000,49600000,99800000,2014
Surprise - Journey To The West,AR,,49600000,49600000,2015
Carrie (2013),SGem,35300000,49500000,84800000,2013
Searching,SGem,26000000,49400000,75400000,2018
Priest,SGem,29100000,49200000,78300000,2011
The Internship,Fox,44700000,48800000,93500000,2013
Game Night,WB (NL),69200000,48500000,117700000,2018
The Devil Inside,Par.,53300000,48500000,101800000,2012
Brick Mansions,Rela.,20400000,48500000,68900000,2014
Atomic Blonde,Focus,51700000,48300000,100000000,2017
The Berlin File,CJ,665000,48300000,48965000,2013
Little White Lies,MPI,206000,48300000,48506000,2012
Prem Ratan Dhan Payo,FIP,4400000,48200000,52600000,2015
Kick-Ass,LGF,48100000,48100000,96200000,2010
Project X,WB,54700000,48000000,102700000,2012
Poltergeist (2015),Fox,47400000,48000000,95400000,2015
Annie (2014),Sony,85900000,47900000,133800000,2014
Unbroken,Uni.,115600000,47800000,163400000,2014
Dragon Ball Z: Battle of Gods,SV,2600000,47800000,50400000,2014
Luck-Key,JBG,467000,47700000,48167000,2016
J. Edgar,WB,37300000,47600000,84900000,2011
Yo-kai Watch: The Movie,Elev.,257000,47600000,47857000,2016
Begin Again,Wein.,16200000,47300000,63500000,2014
Tiny Times 2,CL,43800,47200000,47243800,2013
Sherlock Gnomes,Par.,43200000,47100000,90300000,2018
Spy Kids: All the Time in the World,W/Dim.,38500000,47000000,85500000,2011
The Mechanic,CBS,29100000,47000000,76100000,2011
The Help,BV,169700000,46900000,216600000,2011
Heartbreaker,IFC,504000,46900000,47404000,2010
The Son of Bigfoot,VPD,289000,46800000,47089000,2018
Nerve,LGF,38600000,46700000,85300000,2016
Goosebumps 2: Haunted Halloween,Sony,46700000,46600000,93300000,2018
Ouija: Origin of Evil,Uni.,35100000,46600000,81700000,2016
Scary Movie 5,W/Dim.,32000000,46400000,78400000,2013
Early Man,LGF,8300000,46400000,54700000,2018
Coming Home (2015),SPC,378000,46400000,46778000,2015
Anchorman 2: The Legend Continues,Par.,125200000,46300000,171500000,2013
The Next Three Days,LGF,21100000,46300000,67400000,2010
Frankenweenie,BV,35300000,46200000,81500000,2012
Vacation,WB (NL),58900000,46000000,104900000,2015
War of the Arrows,CJ,251000,45800000,46051000,2011
I Feel Pretty,STX,48800000,45700000,94500000,2018
John Wick,LG/S,43000000,45700000,88700000,2014
One Day,Focus,13800000,45500000,59300000,2011
Skyline,Uni.,21400000,45400000,66800000,2010
Run All Night,WB,26500000,45200000,71700000,2015
The Battleship Island,CJ,1100000,45000000,46100000,2017
"Big Mommas: Like Father, Like Son",Fox,37900000,44800000,82700000,2011
Joy,Fox,56500000,44700000,101200000,2015
R.I.P.D.,Uni.,33600000,44700000,78300000,2013
The Ghost Writer,Sum.,15500000,44700000,60200000,2010
We Bought a Zoo,Fox,75600000,44500000,120100000,2011
Once Upon a Deadpool,Fox,6100000,44400000,50500000,2018
A Simple Favor,LGF,53500000,44100000,97600000,2018
A Million Ways to Die in the West,Uni.,43100000,44100000,87200000,2014
"The Good, the Bad, the Weird",IFC,128000,44100000,44228000,2010
BlacKkKlansman,Focus,49300000,44000000,93300000,2018
Vampires Suck,Fox,36700000,43900000,80600000,2010
Crimson Peak,Uni.,31100000,43600000,74700000,2015
A Monster Calls,Focus,3700000,43600000,47300000,2016
Runner Runner,Fox,19300000,43400000,62700000,2013
Evil Dead (2013),TriS,54200000,43300000,97500000,2013
War Dogs,WB,43000000,43200000,86200000,2016
What to Expect When You're Expecting,LGF,41200000,43200000,84400000,2012
Victoria and Abdul,Focus,22200000,43200000,65400000,2017
The Darkest Hour,Sum.,21400000,43200000,64600000,2011
Sausage Party,Sony,97700000,43000000,140700000,2016
Insidious,FD,54000000,43000000,97000000,2011
Parental Guidance,Fox,77300000,42500000,119800000,2012
The Man From Nowhere,CJ,528000,42500000,43028000,2010
The Legend of Hercules,LG/S,18800000,42400000,61200000,2014
127 Hours,FoxS,18300000,42400000,60700000,2010
The Spy Who Dumped Me,LGF,33600000,41800000,75400000,2018
The Family (2013),Rela.,36900000,41500000,78400000,2013
A Werewolf Boy,CJ,343000,41300000,41643000,2012
Drive (2011),FD,35100000,41100000,76200000,2011
Quartet,Wein.,18400000,41100000,59500000,2013
Legend,Uni.,1900000,41100000,43000000,2015
The Tree of Life,FoxS,13300000,41000000,54300000,2011
Evangelion 2.0: You Can (Not) Advance,Elev.,134000,41000000,41134000,2011
Overboard (2018),PNT,50300000,40900000,91200000,2018
Beautiful Creatures (2013),WB,19500000,40600000,60100000,2013
Magic in the Moonlight,SPC,10500000,40500000,51000000,2014
The Concert,Wein.,658000,40500000,41158000,2010
Straight Outta Compton,Uni.,161200000,40400000,201600000,2015
The Purge: Anarchy,Uni.,72000000,40000000,112000000,2014
The Back-Up Plan,CBS,37500000,40000000,77500000,2010
Going in Style (2017),WB (NL),45000000,39900000,84900000,2017
One Direction: This is Us,TriS,28900000,39700000,68600000,2013
The Shack,LG/S,57400000,39600000,97000000,2017
Mortdecai,LGF,7700000,39600000,47300000,2015
Identity Thief,Uni.,134500000,39500000,174000000,2013
Southpaw,Wein.,52400000,39500000,91900000,2015
Bang Bang,FIP,2500000,39500000,42000000,2014
The Purge: Election Year,Uni.,79200000,39400000,118600000,2016
T2: Trainspotting,TriS,2400000,39300000,41700000,2017
The Lucky One,WB,60500000,38900000,99400000,2012
The Change-Up,Uni.,37100000,38400000,75500000,2011
My Little Pony: The Movie,LGF,21900000,38400000,60300000,2017
Agora,NM,619000,38400000,39019000,2010
The Girl Who Kicked the Hornet's Nest,MBox,5200000,38300000,43500000,2010
My Name is Khan,FoxS,4000000,38300000,42300000,2010
Of Gods and Men,SPC,4000000,38200000,42200000,2011
10 Cloverfield Lane,Par.,72100000,38100000,110200000,2016
Hall Pass,WB (NL),45100000,38100000,83200000,2011
Nine Lives (2016),EC,19700000,38100000,57800000,2016
Sicario,LGF,46900000,38000000,84900000,2015
Edge of Darkness,WB,43300000,37800000,81100000,2010
The Judge,WB,47100000,37300000,84400000,2014
Black Mass,WB,62600000,37200000,99800000,2015
Moonlight (2016),A24,27900000,37200000,65100000,2016
Zero Dark Thirty,Sony,95700000,37100000,132800000,2012
Remember Me,Sum.,19100000,37000000,56100000,2010
The Nut Job 2: Nutty by Nature,ORF,28400000,36800000,65200000,2017
The Host (2013),ORF,26600000,36700000,63300000,2013
Paul Blart: Mall Cop 2,Sony,71000000,36600000,107600000,2015
August: Osage County,Wein.,37700000,36500000,74200000,2013
Larry Crowne,Uni.,35600000,36400000,72000000,2011
The Snowman,Uni.,6700000,36400000,43100000,2017
Pain and Gain,Par.,49900000,36300000,86200000,2013
The Possession,LGF,49100000,36300000,85400000,2012
The Last Stand,LGF,12100000,36300000,48400000,2013
Whiplash,SPC,13100000,35900000,49000000,2014
The Fighter,Par.,93600000,35600000,129200000,2010
Savages (2012),Uni.,47400000,35600000,83000000,2012
Den of Thieves,STX,44900000,35600000,80500000,2018
Loving Vincent,Good Deed,6700000,35500000,42200000,2017
Hereditary,A24,44100000,35300000,79400000,2018
Namiya,CL,70800,35300000,35370800,2018
Dear John,SGem,80000000,35000000,115000000,2010
The Ides of March,Sony,41000000,35000000,76000000,2011
Silent Hill: Revelation 3D,ORF,17500000,34800000,52300000,2012
Saving Mr. Banks,BV,83300000,34600000,117900000,2013
Moneyball,Sony,75600000,34600000,110200000,2011
The Hundred-Foot Journey,BV,54200000,34600000,88800000,2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,67000000,34400000,101400000,2014
Fetih 1453: The Conquest of Constantinople,NeoC,35700,34400000,34435700,2012
Tad the Lost Explorer and the Secret of King Midas,ParC,5900,34200000,34205900,2017
The Water Diviner,WB,4200000,34000000,38200000,2015
Blockers,Uni.,60300000,33700000,94000000,2018
Widows,Fox,42400000,33600000,76000000,2018
Shaolin,Vari.,66100,33600000,33666100,2011
Ride Along 2,Uni.,91200000,33400000,124600000,2016
RA One,Eros,2500000,33400000,35900000,2011
The Visit,Uni.,65200000,33200000,98400000,2015
"Hail, Caesar!",Uni.,30500000,33100000,63600000,2016
Absolutely Fabulous: The Movie,FoxS,4800000,33100000,37900000,2016
Second Act,STX,39300000,33000000,72300000,2018
The Watch,Fox,35400000,32900000,68300000,2012
Cafe Society,LGF,11100000,32700000,43800000,2016
The Mountain Between Us,Fox,30300000,32500000,62800000,2017
The American,Focus,35600000,32299999,67899999,2010
A Wrinkle in Time,BV,100500000,32200000,132700000,2018
Isle Of Dogs,FoxS,32000000,32200000,64200000,2018
The Pirates,WGUSA,416000,32100000,32516000,2014
Kick-Ass 2,Uni.,28800000,32000000,60800000,2013
All the Money in the World,TriS,25100000,31900000,57000000,2017
Unfriended,Uni.,32500000,31600000,64100000,2015
The Wild Life (2016),LG/S,8000000,31500000,39500000,2016
The Lady in the Van,SPC,10000000,31400000,41400000,2015
Manchester by the Sea,RAtt.,47700000,31300000,79000000,2016
Killer Elite,ORF,25100000,31300000,56400000,2011
Side Effects (2013),ORF,32200000,31200000,63400000,2013
New World (2013),WGUSA,458000,31200000,31658000,2013
Mike and Dave Need Wedding Dates,Fox,46000000,31100000,77100000,2016
Monster Trucks,Par.,33400000,31100000,64500000,2017
American Assassin,LGF,36200000,31000000,67200000,2017
You Will Meet a Tall Dark Stranger,SPC,3200000,31000000,34200000,2010
Trainwreck,Uni.,110200000,30600000,140800000,2015
Downsizing,Par.,24400000,30600000,55000000,2017
Molly's Game,STX,28800000,30500000,59300000,2017
Mesrine: Killer Instinct,MBox,552000,30500000,31052000,2010
Eddie the Eagle,Fox,15800000,30400000,46200000,2016
Get Him to the Greek,Uni.,61000000,30300000,91300000,2010
Mile 22,STX,36100000,30200000,66300000,2018
Lady Bird,A24,49000000,30000000,79000000,2017
Mary Queen of Scots,Focus,16500000,29900000,46400000,2018
Baaghi 2,FIP,1300000,29900000,31200000,2018
Lone Survivor,Uni.,125100000,29700000,154800000,2013
Contraband,Uni.,66500000,29700000,96200000,2012
How to be a Latin Lover,PNT,32100000,29700000,61800000,2017
Sinister,LG/S,48100000,29600000,77700000,2012
My Big Fat Greek Wedding 2,Uni.,59700000,29200000,88900000,2016
Muppets Most Wanted,BV,51200000,29200000,80400000,2014
Billy Lynn's Long Halftime Walk,TriS,1700000,29200000,30900000,2016
Devil,Uni.,33600000,29100000,62700000,2010
Dragon (2012),RTWC,11100,29100000,29111100,2012
Morning Glory,Par.,31000000,29000000,60000000,2010
From Paris with Love,LGF,24100000,28700000,52800000,2010
Parker,FD,17600000,28600000,46200000,2013
Rowdy Rathore,UTV,777000,28600000,29377000,2012
Adrift,STX,31400000,28500000,59900000,2018
Victor Frankenstein,Fox,5800000,28500000,34300000,2015
If I Stay,WB (NL),50500000,28400000,78900000,2014
The Boy (2016),STX,35800000,28400000,64200000,2016
The Darkest Minds,Fox,12700000,28400000,41100000,2018
Woman in Gold,Wein.,33299999,28300000,61599999,2015
Flatliners (2017),Sony,16900000,28300000,45200000,2017
Vice,Annapurna,47800000,28200000,76000000,2018
Finding Nemo (3D),BV,41100000,28200000,69300000,2012
The Possession of Hannah Grace,SGem,14800000,28200000,43000000,2018
I Give It a Year,Magn.,34700,28200000,28234700,2013
Diary of a Wimpy Kid: Dog Days,Fox,49000000,28100000,77100000,2012
Zoolander 2,Par.,28800000,27900000,56700000,2016
Dallas Buyers Club,Focus,27300000,27900000,55200000,2013
Here Comes the Boom,Sony,45300000,27800000,73100000,2012
Legion (2010),SGem,40200000,27800000,68000000,2010
The Divine Move,CJ,137000,27800000,27937000,2014
The Skin I Live In,SPC,3200000,27700000,30900000,2011
Man on a Ledge,LG/S,18600000,27600000,46200000,2012
Carol,Wein.,12700000,27600000,40300000,2015
Arbitrage,RAtt.,7900000,27600000,35500000,2012
The Secret in Their Eyes,SPC,6400000,27600000,34000000,2010
Bol Bachchan,FIP,1200000,27600000,28800000,2012
"Everything, Everything",WB,34100000,27500000,61600000,2017
Conan the Barbarian (2011),LGF,21300000,27500000,48800000,2011
Khumba,MNE,1000,27200000,27201000,2013
No Escape,Wein.,27300000,27100000,54400000,2015
A Walk Among the Tombstones,Uni.,26300000,26900000,53200000,2014
The Last Exorcism,LGF,41000000,26700000,67700000,2010
mother!,Par.,17800000,26700000,44500000,2017
Phantom Thread,Focus,21200000,26600000,47800000,2017
The Nice Guys,WB,36300000,26500000,62800000,2016
Legend of the Fist: The Return of Chen Zhen,Vari.,50400,26500000,26550400,2011
Monster Family,VPD,127000,26300000,26427000,2018
Safe Haven,Rela.,71300000,26200000,97500000,2013
The Last Song,BV,63000000,26100000,89100000,2010
Letters to Juliet,Sum.,53000000,26100000,79100000,2010
Justin Bieber: Never Say Never,Par.,73000000,26000000,99000000,2011
M.S. Dhoni: The Untold Story,FIP,1800000,26000000,27800000,2016
Iceman (2014),WGUSA,7700,26000000,26007700,2014
Fan,Yash,2300000,25900000,28200000,2016
Night School (2018),Uni.,77300000,25800000,103100000,2018
Sicario: Day of the Soldado,Sony,50100000,25800000,75900000,2018
The Grey,ORF,51600000,25700000,77300000,2012
Frank Miller's Sin City: A Dame to Kill For,W/Dim.,13800000,25600000,39400000,2014
Pad Man,Sony,1700000,25600000,27300000,2018
"Love, Rosie",TFA,20400,25600000,25620400,2015
"Love, Simon",Fox,40800000,25500000,66300000,2018
The Longest Ride,Fox,37400000,25500000,62900000,2015
Salmon Fishing in the Yemen,CBS,9000000,25500000,34500000,2012
Judwaa 2,FIP,1400000,25500000,26900000,2017
Girls Trip,Uni.,115200000,25400000,140600000,2017
Alpha and Omega,LGF,25100000,25400000,50500000,2010
Rough Night,Sony,22100000,25200000,47300000,2017
The Five-Year Engagement,Uni.,28800000,25100000,53900000,2012
Sinister 2,Focus,27700000,25100000,52800000,2015
Still Alice,SPC,18800000,25100000,43900000,2015
Carnage (2011),SPC,2500000,25100000,27600000,2011
On the Other Side of the Tracks,Wein.,9600,25100000,25109600,2014
The Purge,Uni.,64500000,24900000,89400000,2013
The Big Wedding,LGF,21800000,24700000,46500000,2013
This is the End,Sony,101500000,24600000,126100000,2013
The Players,Wein.,10900,24600000,24610900,2014
Capture the Flag,Par.,6700,24600000,24606700,2015
The Finest Hours,BV,27600000,24500000,52100000,2016
The Cabin in the Woods,LGF,42100000,24400000,66500000,2012
Blair Witch,LGF,20800000,24400000,45200000,2016
Colombiana,TriS,36700000,24300000,61000000,2011
Going the Distance,WB (NL),17800000,24200000,42000000,2010
Criminal (2016),LG/S,14700000,24100000,38800000,2016
Ae Dil Hai Mushkil,FIP,4300000,24100000,28400000,2016
"I, Tonya",Neon,30000000,23900000,53900000,2017
Wild Tales,SPC,3100000,23900000,27000000,2015
Brooklyn,FoxS,38300000,23800000,62100000,2015
Call Me by Your Name,SPC,18100000,23800000,41900000,2017
Rust and Bone,SPC,2100000,23700000,25800000,2012
Movie 43,Rela.,8800000,23600000,32400000,2013
Hanna,Focus,40300000,23500000,63800000,2011
Jane Eyre,Focus,11200000,23500000,34700000,2011
The Tale of The Princess Kaguya,GK,703000,23500000,24203000,2014
Tag,WB (NL),54700000,23400000,78100000,2018
Extremely Loud & Incredibly Close,WB,31800000,23400000,55200000,2011
Irrational Man,SPC,4000000,23400000,27400000,2015
Winnie the Pooh,BV,26700000,23200000,49900000,2011
Safe (2012),LGF,17100000,23200000,40300000,2012
Badrinath Ki Dulhania,FIP,2000000,23200000,25200000,2017
Dolphin Tale,WB,72300000,23100000,95400000,2011
The Age of Adaline,LGF,42600000,23000000,65600000,2015
Burnt,Wein.,13700000,23000000,36700000,2015
Homefront,ORF,20200000,22900000,43100000,2013
Killing Them Softly,Wein.,15000000,22900000,37900000,2012
Moonrise Kingdom,Focus,45500000,22800000,68300000,2012
Fright Night (2011),BV,18300000,22700000,41000000,2011
Avatar: Special Edition,Fox,10700000,22500000,33200000,2010
The Women on the 6th Floor,Strand,720000,22500000,23220000,2011
The Woman in Black 2: Angel of Death,Rela.,26500000,22400000,48900000,2015
21 and Over,Rela.,25700000,22400000,48100000,2013
Solace,LGP,,22400000,22400000,2016
Teen Titans Go! To The Movies,WB,29800000,22300000,52100000,2018
Dredd,LGF,13400000,22200000,35600000,2012
The Switch,Mira.,27800000,22100000,49900000,2010
The Star,Sony,40900000,22000000,62900000,2017
Kubo and the Two Strings,Focus,48000000,21900000,69900000,2016
The Giver,Wein.,45100000,21900000,67000000,2014
3 Days to Kill,Rela.,30700000,21900000,52600000,2014
Trance,FoxS,2300000,21900000,24200000,2013
Her (2013),WB,25600000,21800000,47400000,2013
A Dangerous Method,SPC,5700000,21800000,27500000,2011
12 Strong,WB,45800000,21600000,67400000,2018
Cirque Du Soleil: Worlds Away,Par.,12500000,21600000,34100000,2012
Potiche,MBox,1600000,21600000,23200000,2011
Hubble 3D,WB,52400000,21500000,73900000,2010
Florence Foster Jenkins,Par.,27400000,21500000,48900000,2016
Go Away Mr. Tumor,CL,287000,21500000,21787000,2015
Get Hard,WB,90400000,21400000,111800000,2015
Diana,EOne,335000,21400000,21735000,2013
The Suspect (2014),WGUSA,219000,21400000,21619000,2014
Daybreakers,LGF,30100000,21300000,51400000,2010
Shark Night 3D,Rela.,18900000,21300000,40200000,2011
Show Dogs,Global Road,17900000,21300000,39200000,2018
Jolly Llb 2,FIP,1700000,21300000,23000000,2017
Kon-Tiki,Wein.,1500000,21300000,22800000,2013
22 Bullets,Cdgm.,,21300000,21300000,2013
The Dilemma,Uni.,48500000,21200000,69700000,2011
Slender Man,SGem,30600000,21200000,51800000,2018
Something Borrowed,WB,39000000,21100000,60100000,2011
Devil's Due,Fox,15800000,21100000,36900000,2014
Julieta,SPC,1500000,21000000,22500000,2016
